id,code,name,dpto_id/id
dpto_45,l10n_sv_dpto.04_4,Citala,l10n_sv_dpto.04
dpto_46,l10n_sv_dpto.04_5,Comalapa,l10n_sv_dpto.04
dpto_47,l10n_sv_dpto.04_6,Concepcion Quezaltepeque,l10n_sv_dpto.04
dpto_48,l10n_sv_dpto.04_7,Chalatenango,l10n_sv_dpto.04
dpto_49,l10n_sv_dpto.04_8,Dulce Nombre de  Maria,l10n_sv_dpto.04
dpto_50,l10n_sv_dpto.04_9,El Carrizal,l10n_sv_dpto.04
dpto_51,l10n_sv_dpto.04_10,El Paraiso,l10n_sv_dpto.04
dpto_52,l10n_sv_dpto.04_11,La Laguna,l10n_sv_dpto.04
dpto_53,l10n_sv_dpto.04_12,La Palma,l10n_sv_dpto.04
dpto_54,l10n_sv_dpto.04_13,La Reina,l10n_sv_dpto.04
dpto_55,l10n_sv_dpto.04_14,Las Vueltas,l10n_sv_dpto.04
dpto_56,l10n_sv_dpto.04_15,Nombre De Jesus,l10n_sv_dpto.04
dpto_57,l10n_sv_dpto.04_16,Nueva Concepcion,l10n_sv_dpto.04
dpto_58,l10n_sv_dpto.04_17,Nueva Trinidad,l10n_sv_dpto.04
dpto_59,l10n_sv_dpto.04_18,Ojos De Agua,l10n_sv_dpto.04
dpto_60,l10n_sv_dpto.04_19,Potonico,l10n_sv_dpto.04
dpto_61,l10n_sv_dpto.04_20,San Antonio de  La Cruz,l10n_sv_dpto.04
dpto_62,l10n_sv_dpto.04_21,San Antonio Los Ranchos,l10n_sv_dpto.04
dpto_63,l10n_sv_dpto.04_22,San Fernando,l10n_sv_dpto.04
dpto_64,l10n_sv_dpto.04_23,San Francisco Lempa,l10n_sv_dpto.04
dpto_65,l10n_sv_dpto.04_24,San Francisco Morazan,l10n_sv_dpto.04
dpto_66,l10n_sv_dpto.04_25,San Ignacio,l10n_sv_dpto.04
dpto_67,l10n_sv_dpto.04_26,San Isidro Labrador,l10n_sv_dpto.04
dpto_68,l10n_sv_dpto.04_27,San Jose Cancasque,l10n_sv_dpto.04
dpto_69,l10n_sv_dpto.04_28,San Jose Flores,l10n_sv_dpto.04
dpto_70,l10n_sv_dpto.04_29,San Luis Carmen,l10n_sv_dpto.04
dpto_71,l10n_sv_dpto.04_30,San Miguel de  Mercedes,l10n_sv_dpto.04
dpto_72,l10n_sv_dpto.04_31,San Rafael,l10n_sv_dpto.04
dpto_73,l10n_sv_dpto.04_32,Santa Rita,l10n_sv_dpto.04
dpto_74,l10n_sv_dpto.04_33,Tejutla,l10n_sv_dpto.04
dpto_75,l10n_sv_dpto.05_1,Antiguo Cuscatlan,l10n_sv_dpto.05
dpto_76,l10n_sv_dpto.05_2,Ciudad Arce,l10n_sv_dpto.05
dpto_77,l10n_sv_dpto.05_3,Colon,l10n_sv_dpto.05
dpto_78,l10n_sv_dpto.05_4,Comasagua,l10n_sv_dpto.05
dpto_79,l10n_sv_dpto.05_5,Chiltiupan,l10n_sv_dpto.05
dpto_80,l10n_sv_dpto.05_6,Huizucar,l10n_sv_dpto.05
dpto_81,l10n_sv_dpto.05_7,Jayaque,l10n_sv_dpto.05
dpto_82,l10n_sv_dpto.05_8,Jicalapa,l10n_sv_dpto.05
dpto_83,l10n_sv_dpto.05_9,La Libertad,l10n_sv_dpto.05
dpto_84,l10n_sv_dpto.05_10,Nuevo Cuscatlan,l10n_sv_dpto.05
dpto_85,l10n_sv_dpto.05_11,Santa Tecla,l10n_sv_dpto.05
dpto_86,l10n_sv_dpto.05_12,Quezaltepeque,l10n_sv_dpto.05
dpto_87,l10n_sv_dpto.05_13,Sacacoyo,l10n_sv_dpto.05
dpto_88,l10n_sv_dpto.05_14,San Jose Villanueva,l10n_sv_dpto.05
dpto_89,l10n_sv_dpto.05_15,San Juan Opico,l10n_sv_dpto.05
dpto_90,l10n_sv_dpto.05_16,San Matias,l10n_sv_dpto.05
dpto_91,l10n_sv_dpto.05_17,San Pablo Tacachico,l10n_sv_dpto.05
dpto_92,l10n_sv_dpto.05_18,Tamanique,l10n_sv_dpto.05
dpto_93,l10n_sv_dpto.05_19,Talnique,l10n_sv_dpto.05
dpto_94,l10n_sv_dpto.05_20,Teotepeque,l10n_sv_dpto.05
dpto_95,l10n_sv_dpto.05_21,Tepecoyo,l10n_sv_dpto.05
dpto_96,l10n_sv_dpto.05_22,Zaragoza,l10n_sv_dpto.05
dpto_97,l10n_sv_dpto.06_1,Aguilares,l10n_sv_dpto.06
dpto_98,l10n_sv_dpto.06_2,Apopa,l10n_sv_dpto.06
dpto_99,l10n_sv_dpto.06_3,Ayutuxtepeque,l10n_sv_dpto.06
dpto_100,l10n_sv_dpto.06_4,Cuscatancingo,l10n_sv_dpto.06
dpto_101,l10n_sv_dpto.06_5,El Paisnal,l10n_sv_dpto.06
dpto_102,l10n_sv_dpto.06_6,Guazapa,l10n_sv_dpto.06
dpto_103,l10n_sv_dpto.06_7,Ilopango,l10n_sv_dpto.06
dpto_104,l10n_sv_dpto.06_8,Mejicanos,l10n_sv_dpto.06
dpto_105,l10n_sv_dpto.06_9,Nejapa,l10n_sv_dpto.06
dpto_106,l10n_sv_dpto.06_10,Panchimalco,l10n_sv_dpto.06
dpto_107,l10n_sv_dpto.06_11,Rosario De Mora,l10n_sv_dpto.06
dpto_108,l10n_sv_dpto.06_12,San Marcos,l10n_sv_dpto.06
dpto_109,l10n_sv_dpto.06_13,San Martin,l10n_sv_dpto.06
dpto_110,l10n_sv_dpto.06_14,San Salvador,l10n_sv_dpto.06
dpto_111,l10n_sv_dpto.06_15,Santiago Texacuangos,l10n_sv_dpto.06
dpto_112,l10n_sv_dpto.06_16,Santo Tomas,l10n_sv_dpto.06
dpto_113,l10n_sv_dpto.06_17,Soyapango,l10n_sv_dpto.06
dpto_114,l10n_sv_dpto.06_18,Tonacatepeque,l10n_sv_dpto.06
dpto_115,l10n_sv_dpto.06_19,Ciudad Delgado,l10n_sv_dpto.06
dpto_116,l10n_sv_dpto.07_1,Candelaria,l10n_sv_dpto.07
dpto_117,l10n_sv_dpto.07_2,Cojutepeque,l10n_sv_dpto.07
dpto_118,l10n_sv_dpto.07_3,El Carmen,l10n_sv_dpto.07
dpto_119,l10n_sv_dpto.07_4,El Rosario,l10n_sv_dpto.07
dpto_120,l10n_sv_dpto.07_5,Monte San Juan,l10n_sv_dpto.07
dpto_121,l10n_sv_dpto.07_6,Oratorio de Concepcion,l10n_sv_dpto.07
